-1,-1,-1,0,1,2,3,4,4,1,2,3,4,4,1,2,4,1,2,3,4,4,1,2,3,4,5,-1,-1,-1
-1,-1,-1,36,37,38,39,19,20,21,22,21,22,19,20,21,22,19,20,19,20,21,22,38,39,40,41,-1,-1,-1
-1,-1,-1,54,55,56,57,37,38,39,40,39,40,37,38,39,40,37,38,37,38,39,40,56,57,58,59,-1,-1,-1
-1,-1,-1,72,73,74,75,55,56,57,58,57,58,55,56,57,58,55,56,55,56,57,58,74,75,76,77,187,-1,-1
-1,-1,-1,18,19,20,21,73,74,75,76,75,19,20,21,22,22,22,22,21,22,75,76,187,21,22,23,187,-1,-1
-1,-1,-1,36,37,38,39,40,19,20,19,20,21,22,22,22,40,40,40,22,22,22,22,187,39,40,41,187,-1,-1
-1,-1,-1,54,55,56,57,58,37,38,19,20,21,22,40,40,58,58,58,40,40,22,40,187,57,58,59,187,-1,-1
-1,-1,-1,72,73,74,75,76,55,56,19,20,21,22,58,58,76,76,76,58,58,40,58,187,75,76,77,187,-1,-1
-1,-1,-1,18,19,20,21,22,19,20,19,19,20,21,22,76,74,75,76,76,76,58,76,187,21,22,23,187,-1,-1
-1,-1,-1,36,37,38,39,40,37,38,37,19,19,19,19,20,21,22,74,75,76,76,76,187,39,40,41,187,-1,-1
-1,-1,-1,54,55,56,57,58,55,56,55,37,37,37,37,38,39,40,73,74,75,76,76,56,57,58,59,187,-1,-1
-1,-1,-1,72,73,74,75,76,73,74,73,55,55,55,55,56,57,58,74,75,76,76,76,74,75,76,77,-1,-1,-1
-1,-1,-1,18,19,20,21,22,19,20,21,73,73,73,73,74,75,76,75,76,21,22,19,20,21,22,23,-1,-1,-1
-1,-1,-1,36,37,38,39,40,37,38,39,40,73,73,73,73,73,74,75,76,39,40,37,38,39,40,41,-1,-1,-1
-1,-1,-1,54,55,56,57,58,55,56,57,58,55,56,57,55,56,57,55,56,57,58,55,56,57,58,59,-1,-1,-1
-1,-1,-1,72,73,74,75,76,73,74,75,76,73,74,75,73,74,75,73,74,75,76,73,74,75,76,77,-1,-1,-1
-1,-1,-1,90,91,92,93,94,91,92,91,92,93,94,93,92,91,92,93,94,91,91,91,92,93,94,95,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
